"","title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5","imdb_url","rt_url","genre_string"
"305","National Security","Feature Film","Drama",88,"PG-13","Sony Pictures",2003,1,17,2003,5,27,5.6,37938,"Rotten",11,"Spilled",45,"no","no","no","no","no","no","Dennis Dugan","Martin Lawrence","Steve Zahn","Colm Feore","Bill Duke","Eric Roberts","http://www.imdb.com/title/tt0271668/","//www.rottentomatoes.com/m/national_security/","Drama"
"306","Down in the Valley","Feature Film","Other",108,"R","ThinkFilm",2006,5,5,2006,9,26,6.5,16480,"Rotten",52,"Spilled",54,"no","no","no","no","no","no","David Jacobson","Edward Norton","Evan Rachel Wood","David Morse","Bruce Dern","Rory Culkin","http://www.imdb.com/title/tt0398027/","//www.rottentomatoes.com/m/down_in_the_valley/","Other"
"307","Young Adult","Feature Film","Drama",94,"R","Paramount Studios",2011,12,16,2012,3,13,6.3,63219,"Certified Fresh",80,"Spilled",49,"no","no","no","yes","no","no","Jason Reitman","Charlize Theron","Patton Oswalt","Patrick Wilson","Elizabeth Reaser","Collette Wolfe","http://www.imdb.com/title/tt1625346/","//www.rottentomatoes.com/m/young_adult/","Drama"
"308","The Man Who Sued God","Feature Film","Drama",97,"R",NA,2001,10,25,2007,3,13,6.5,4251,"Fresh",71,"Spilled",59,"no","no","no","no","no","no","Mark Joffe","Billy Connolly","Judy Davis","Colin Friels","Bille Brown","Wendy Hughes","http://www.imdb.com/title/tt0268437/","//www.rottentomatoes.com/m/man_who_sued_god/","Drama"
"309","Compliance","Feature Film","Drama",90,"R","Magnolia Pictures",2012,8,17,2013,1,8,6.4,23697,"Certified Fresh",89,"Upright",60,"no","no","no","no","no","no","Craig Zobel","Ann Dowd","Dreama Walker","Pat Healy","Bill Camp","Philip Ettinger","http://www.imdb.com/title/tt1971352/","//www.rottentomatoes.com/m/compliance_2012/","Drama"
"310","I Spit On Your Grave","Feature Film","Horror",108,"R","Anchor Bay Films",2010,10,8,2011,2,8,6.3,53675,"Rotten",34,"Spilled",48,"no","no","no","no","no","no","Steven R. Monroe","Sarah Butler","Jeff Branson","Andrew Howard","Daniel Franzese","Rodney Eastman","http://www.imdb.com/title/tt1242432/","//www.rottentomatoes.com/m/i_spit_on_your_grave_2010/","Horror"
"311","Maniac","Feature Film","Drama",87,"R","Analysis",1980,1,1,1998,6,30,6.5,9787,"Rotten",43,"Spilled",58,"no","no","no","no","no","no","William Lustig","Joe Spinell","Caroline Munro","Gail Lawrence","Kelly Piper","Rita Montone","http://www.imdb.com/title/tt0081114/","//www.rottentomatoes.com/m/maniac_1980/","Drama"
"312","Dog Park","Feature Film","Comedy",91,"R","New Line Home Entertainment",1998,6,1,2004,3,2,5.1,1978,"Rotten",36,"Spilled",28,"no","no","no","no","no","no","Bruce McCulloch","Natasha Henstridge","Janeane Garofalo","Luke Wilson","Kathleen Robertson","Bruce McCulloch","http://www.imdb.com/title/tt0129884/","//www.rottentomatoes.com/m/dog_park/","Comedy"
"313","The Brothers Solomon","Feature Film","Comedy",93,"R","Screen Gems",2007,9,7,2007,12,26,5.3,9370,"Rotten",15,"Spilled",31,"no","no","no","no","no","no","Bob Odenkirk","Will Arnett","Will Forte","Chi McBride","Kristen Wiig","Malin Akerman","http://www.imdb.com/title/tt0784972/","//www.rottentomatoes.com/m/brothers_solomon/","Comedy"
"314","Maurice","Feature Film","Drama",140,"R","Lorimar Home Video",1987,9,1,2004,2,24,7.8,10380,"Fresh",91,"Upright",87,"no","no","no","no","no","no","James Ivory","James Wilby","Hugh Grant","Rupert Graves","Denholm Elliott","Simon Callow","http://www.imdb.com/title/tt0093512/","//www.rottentomatoes.com/m/maurice/","Drama"
"315","The Last Boy Scout","Feature Film","Drama",105,"R","Warner Home Video",1991,12,13,1998,5,26,6.9,73280,"Rotten",42,"Upright",68,"no","no","no","no","no","no","Tony Scott","Bruce Willis","Damon Wayans","Chelsea Field","Noble Willingham","Taylor Negron","http://www.imdb.com/title/tt0102266/","//www.rottentomatoes.com/m/last_boy_scout/","Drama"
"316","Alligator","Feature Film","Science Fiction & Fantasy",91,"R","Group 1",1980,1,1,2007,9,18,5.9,7656,"Fresh",67,"Spilled",47,"no","no","no","no","no","no","Lewis Teague","Robert Forster","Robin Riker","Michael Vincente Gazzo","Perry Lang","Jack Carter","http://www.imdb.com/title/tt0080354/","//www.rottentomatoes.com/m/alligator/","Science Fi"
"317","Jennifer 8","Feature Film","Mystery & Suspense",124,"R","Paramount Home Video",1992,11,6,2000,4,11,6.2,11855,"Rotten",39,"Spilled",37,"no","no","no","no","no","no","Bruce Robinson","Andy Garcia","Uma Thurman","Lance Henriksen","Kathy Baker","Graham Beckel","http://www.imdb.com/title/tt0104549/","//www.rottentomatoes.com/m/jennifer_8/","Mystery & "
"318","RoboCop","Feature Film","Drama",102,"R","Orion Pictures Corporation",1987,7,17,2001,10,2,7.5,172765,"Certified Fresh",88,"Upright",83,"no","no","no","no","no","no","Paul Verhoeven","Peter Weller","Nancy Allen","Ronny Cox","Kurtwood Smith","Miguel Ferrer","http://www.imdb.com/title/tt0093870/","//www.rottentomatoes.com/m/1017712-robocop/","Drama"
"319","The Football Factory","Feature Film","Documentary",91,"R","Image Entertainment",2004,5,14,2005,12,26,6.9,23201,"Rotten",20,"Upright",84,"no","no","no","no","no","no","Nick Love","Danny Dyer","Frank Harper","Dudley Sutton","Tamer Hassan","Roland Monookian","http://www.imdb.com/title/tt0385705/","//www.rottentomatoes.com/m/1153907-football_factory/","Documentar"
"320","Bamboozled","Feature Film","Drama",135,"R","New Line Cinema",2000,10,6,2001,4,17,6.4,8604,"Rotten",48,"Upright",74,"no","no","no","no","no","no","Spike Lee","Damon Wayans","Savion Glover","Tommy Davidson","Michael Rapaport","Thomas Jefferson Byrd","http://www.imdb.com/title/tt0215545/","//www.rottentomatoes.com/m/bamboozled/","Drama"
"321","The Sure Thing","Feature Film","Comedy",100,"PG-13","Embassy",1985,3,1,2003,8,5,7,14949,"Fresh",87,"Upright",79,"no","no","no","no","no","no","Rob Reiner","John Cusack","Daphne Zuniga","Anthony Edwards","Boyd Gaines","Lisa Jane Persky","http://www.imdb.com/title/tt0090103/","//www.rottentomatoes.com/m/sure_thing/","Comedy"
"322","The Slaughter Rule","Feature Film","Drama",112,"R","Cowboy Pictures",2002,1,11,2003,2,17,6.1,1995,"Fresh",73,"Spilled",44,"no","no","no","no","no","no","Alex Smith","Ryan Gosling","David Morse","Clea DuVall","Eddie Spears","Kelly Lynch","http://www.imdb.com/title/tt0266971/","//www.rottentomatoes.com/m/slaughter_rule/","Drama"
"323","Rise of the Footsoldier","Feature Film","Action & Adventure",119,"R","Carnaby International",2007,9,7,2008,12,2,6.9,15806,"Rotten",14,"Upright",84,"no","no","no","no","no","no","Julian Gilbey","Ricci Harnett","Craig Fairbrass","Terry Stone","Roland Manookian","Coralie Rose","http://www.imdb.com/title/tt0901507/","//www.rottentomatoes.com/m/rise-of-the-footsoldier/","Action & A"
"324","Hollywood Homicide","Feature Film","Action & Adventure",116,"PG-13","Columbia Pictures",2003,6,13,2003,10,7,5.3,30694,"Rotten",30,"Spilled",27,"no","no","no","no","no","no","Ron Shelton","Harrison Ford","Josh Hartnett","Lena Olin","Bruce Greenwood","Isaiah Washington","http://www.imdb.com/title/tt0329717/","//www.rottentomatoes.com/m/hollywood_homicide/","Action & A"
"325","Morning Glory","Feature Film","Comedy",107,"PG-13","Paramount Studios",2010,11,10,2011,3,8,6.5,56888,"Rotten",56,"Spilled",51,"no","no","no","yes","no","no","Roger Michell","Rachel McAdams","Harrison Ford","Diane Keaton","Patrick Wilson","Jeff Goldblum","http://www.imdb.com/title/tt1126618/","//www.rottentomatoes.com/m/morning-glory-2010/","Comedy"
"326","11'09''01 - September 11","Feature Film","Drama",134,"Unrated","Empire Pictures",2002,9,11,2004,10,26,7,4821,"Certified Fresh",78,"Upright",64,"no","no","yes","no","no","no","Samira Makhmalbaf","Sean Penn","Maryam Karimi","Mohamad Dolati","Agelem Habibi","Esmat Vahedi","http://www.imdb.com/title/tt0328802/","//www.rottentomatoes.com/m/september_11/","Drama"
"327","Clownhouse","Feature Film","Horror",81,"R","Sony Pictures Home Entertainment",1989,6,1,2003,7,7,5.8,3145,"Rotten",40,"Spilled",41,"no","no","no","no","no","no","Victor Salva","Nathan Forrest Winters","Nathan Forest Winters","Brian McHugh","Sam Rockwell","Tree","http://www.imdb.com/title/tt0094886/","//www.rottentomatoes.com/m/clownhouse/","Horror"
"328","Rampart","Feature Film","Drama",108,"R","Millenium Entertainment",2012,2,10,2012,5,15,5.8,19115,"Certified Fresh",74,"Spilled",35,"no","no","no","no","no","no","Oren Moverman","Woody Harrelson","Sigourney Weaver","Robin Wright","Ned Beatty","Ben Foster","http://www.imdb.com/title/tt1640548/","//www.rottentomatoes.com/m/rampart_2010/","Drama"
"329","Cashback","Feature Film","Drama",102,"R","Magnolia Pictures",2007,4,20,2007,7,24,7.2,70994,"Rotten",46,"Upright",78,"no","no","no","no","no","no","Sean Ellis","Sean Biggerstaff","Emilia Fox","Shaun Evans","Michelle Ryan","Stuart Goodwin","http://www.imdb.com/title/tt0460740/","//www.rottentomatoes.com/m/cashback/","Drama"
"330","The Host","Feature Film","Drama",120,"R","Magnolia Pictures",2007,3,9,2007,7,24,7,66233,"Certified Fresh",92,"Upright",72,"no","no","no","no","no","no","Bong Joon-ho","Song Kang-ho","Park Hae-il","Byeon Hie-bong","Du-na Bae","Ko Ah-sung","http://www.imdb.com/title/tt0468492/","//www.rottentomatoes.com/m/the_host_2007/","Drama"
"331","Aspen Extreme","Feature Film","Drama",113,"PG-13","Buena Vista",1993,1,22,2002,9,3,5.8,2295,"Rotten",22,"Upright",66,"no","no","no","no","no","no","Patrick Hasburgh","Paul Gross","Peter Berg","Finola Hughes","Teri Polo","William Russ","http://www.imdb.com/title/tt0106315/","//www.rottentomatoes.com/m/aspen_extreme/","Drama"
"332","Nomads","Feature Film","Drama",91,"R","Paramount Home Video",1986,3,7,2002,4,16,5.5,2698,"Rotten",13,"Spilled",37,"no","no","no","no","no","no","John McTiernan","Pierce Brosnan","Lesley-Anne Down","Anna Maria Monticelli","Adam Ant","Hector Mercado","http://www.imdb.com/title/tt0091647/","//www.rottentomatoes.com/m/nomads/","Drama"
"333","Deconstructing Harry","Feature Film","Comedy",96,"R","New Line Home Entertainment",1997,12,12,1998,5,26,7.4,34652,"Fresh",71,"Upright",82,"no","no","no","no","yes","no","Woody Allen","Kirstie Alley","Caroline Aaron","Bob Balaban","Richard Benjamin","Eric Bogosian","http://www.imdb.com/title/tt0118954/","//www.rottentomatoes.com/m/deconstructing_harry/","Comedy"
"334","The End of America","Documentary","Documentary",NA,"Unrated","Indipix",2008,10,1,2009,1,20,7.5,739,"Fresh",80,"Upright",72,"no","no","no","no","no","no","Anne Sundberg","Naomi Wolf",NA,NA,NA,NA,"http://www.imdb.com/title/tt1294790/","//www.rottentomatoes.com/m/end_of_america/","Documentar"
"335","Hot Shots! Part Deux","Feature Film","Action & Adventure",86,"PG-13","Twentieth Century Fox Home Entertainment",1993,5,21,2002,8,6,6.6,64489,"Rotten",59,"Upright",63,"no","no","no","no","no","no","Jim Abrahams","Charlie Sheen","Lloyd Bridges","Valeria Golino","Richard Crenna","Brenda Bakke","http://www.imdb.com/title/tt0107144/","//www.rottentomatoes.com/m/hot_shots_part_deux/","Action & A"
"336","Control","Feature Film","Musical & Performing Arts",122,"R","The Weinstein Company",2007,5,17,2008,6,3,7.8,49985,"Certified Fresh",87,"Upright",89,"no","no","no","no","no","no","Hanne Myren","Sam Riley","Samantha Morton","Alexandra Maria Lara","Nigel Harris","Joe Anderson","http://www.imdb.com/title/tt0421082/","//www.rottentomatoes.com/m/control/","Musical & "
"337","Lassie","Feature Film","Action & Adventure",94,"PG","Paramount Pictures",1994,7,22,2002,3,12,5.8,3649,"Fresh",87,"Spilled",56,"no","no","no","no","no","no","Daniel Petrie","Tom Guiry","Thomas Guiry","Helen Slater","Jon Tenney","Frederic Forrest","http://www.imdb.com/title/tt0110305/","//www.rottentomatoes.com/m/1053155-lassie/","Action & A"
"338","What Richard Did","Feature Film","Drama",88,"Unrated","Tribeca Films",2013,5,10,2014,6,23,6.3,3359,"Fresh",93,"Upright",62,"no","no","no","no","no","no","Lenny Abrahamson","Jack Reynor","Roisin Murphy","Sam Keeley","Lars Mikkelsen","Fionn Walton","http://www.imdb.com/title/tt2092011/","//www.rottentomatoes.com/m/what_richard_did/","Drama"
"339","Emperor","Feature Film","Mystery & Suspense",105,"PG-13","Roadside Attractions",2013,3,8,2013,8,13,6.5,10020,"Rotten",31,"Spilled",46,"no","no","no","no","no","no","Peter Webber","Matthew Fox","Tommy Lee Jones","Eriko Hatsune","Toshiyuki Nishida","Masayoshi Haneda","http://www.imdb.com/title/tt2103264/","//www.rottentomatoes.com/m/emperor_2012/","Mystery & "
"340","Hereafter","Feature Film","Mystery & Suspense",129,"PG-13","Warner Bros. Pictures",2010,10,22,2011,3,15,6.5,78726,"Rotten",46,"Spilled",38,"no","no","no","no","yes","no","Clint Eastwood","Matt Damon","Bryce Dallas Howard","Jay Mohr","Richard Kind","Frankie McLaren","http://www.imdb.com/title/tt1212419/","//www.rottentomatoes.com/m/hereafter/","Mystery & "
"341","Aladdin","Feature Film","Action & Adventure",90,"G","Buena Vista Distribution Compa",1992,11,11,2004,10,5,8,246907,"Certified Fresh",94,"Upright",92,"no","no","no","no","no","yes","John Musker","Robin Williams","Linda Larkin","Lea Salonga","Scott Weinger","John Freeman","http://www.imdb.com/title/tt0103639/","//www.rottentomatoes.com/m/1042582-aladdin/","Action & A"
"342","The King of Comedy","Feature Film","Drama",109,"PG","Fox",1983,1,1,2002,12,17,7.8,49374,"Certified Fresh",89,"Upright",89,"no","no","yes","no","yes","no","Martin Scorsese","Robert De Niro","Jerry Lewis","Sandra Bernhard","Ed Herlihy","Louis Polliman Brown","http://www.imdb.com/title/tt0085794/","//www.rottentomatoes.com/m/1011623-king_of_comedy/","Drama"
"343","Bound","Feature Film","Mystery & Suspense",108,"R","Republic Pictures Home Video",1996,10,4,2001,6,19,7.4,40001,"Fresh",92,"Upright",82,"no","no","no","no","no","no","Larry Wachowski","Jennifer Tilly","Gina Gershon","Joe Pantoliano","John P. Ryan","Christopher Meloni","http://www.imdb.com/title/tt0115736/","//www.rottentomatoes.com/m/bound/","Mystery & "
"344","The Pact","Feature Film","Horror",89,"R","IFC Films",2012,7,6,2012,11,6,5.8,18670,"Fresh",65,"Spilled",41,"no","no","no","no","no","no","Nicholas McCarthy","Caity Lotz","Jewel Staite","Casper Van Dien","Samuel Ball","Haley Hudson","http://www.imdb.com/title/tt2040560/","//www.rottentomatoes.com/m/the_pact_2012/","Horror"
"345","Electric Dreams","Feature Film","Drama",95,"PG","MGM",1984,7,20,NA,NA,NA,6.5,5149,"Rotten",47,"Upright",72,"no","no","no","no","no","no","Steve Barron","Lenny Von Dohlen","Virginia Madsen","Maxwell Caulfield","Bud Cort","Don Fellows","http://www.imdb.com/title/tt0087197/","//www.rottentomatoes.com/m/1006510-electric_dreams/","Drama"
"346","Bull Durham","Feature Film","Drama",108,"R","Orion Pictures",1988,6,15,1998,10,28,7.1,35577,"Certified Fresh",97,"Upright",83,"no","no","no","yes","no","no","Ron Shelton","Kevin Costner","Susan Sarandon","Tim Robbins","Trey Wilson","Robert Wuhl","http://www.imdb.com/title/tt0094812/","//www.rottentomatoes.com/m/bull_durham/","Drama"
"347","Man on Wire","Documentary","Documentary",94,"PG-13","Magnolia Pictures",2008,1,22,2008,12,9,7.9,38076,"Certified Fresh",100,"Upright",87,"no","no","no","no","no","no","James Marsh","Philippe Petit","Alan Welner","Annie Allix","Jim Moore","Jean Francois Heckel","http://www.imdb.com/title/tt1155592/","//www.rottentomatoes.com/m/man_on_wire/","Documentar"
"348","Epic Movie","Feature Film","Action & Adventure",86,"R","20th Century Fox",2007,1,26,2007,5,22,2.3,87652,"Rotten",2,"Spilled",29,"no","no","no","no","no","no","Aaron Seltzer","Kal Penn","Adam Campbell","Jayma Mays","Faune A. Chambers","Crispin Glover","http://www.imdb.com/title/tt0799949/","//www.rottentomatoes.com/m/epic_movie/","Action & A"
"349","Below","Feature Film","Mystery & Suspense",105,"R","Dimension Films",2002,10,11,2003,3,11,6.2,17329,"Fresh",63,"Spilled",45,"no","no","no","no","no","no","David Twohy","Matthew Davis","Bruce Greenwood","Olivia Williams","Scott Foley","Holt McCallany","http://www.imdb.com/title/tt0276816/","//www.rottentomatoes.com/m/below/","Mystery & "
"350","The Captive","Feature Film","Mystery & Suspense",112,"R","A24",2014,12,9,2015,3,3,5.9,16511,"Rotten",31,"Spilled",34,"no","no","no","no","no","no","Atom Egoyan","Ryan Reynolds","Mireille Enos","Scott Speedman","Rosario Dawson","Kevin Durand","http://www.imdb.com/title/tt2326612/","//www.rottentomatoes.com/m/the_captive_2014/","Mystery & "
"351","The Saddest Music in the World","Feature Film","Drama",100,"R","IFC Films",2004,4,30,2004,11,16,7.2,5002,"Certified Fresh",78,"Upright",79,"no","no","no","no","no","no","Guy Maddin","Isabella Rossellini","Mark McKinney","Maria de Medeiros","Ross McMillan","David Fox","http://www.imdb.com/title/tt0366996/","//www.rottentomatoes.com/m/saddest_music_in_the_world/","Drama"
"352","The Godfather, Part II","Feature Film","Mystery & Suspense",202,"R","Paramount Pictures",1974,12,20,2005,5,24,9,749783,"Certified Fresh",97,"Upright",97,"yes","yes","yes","yes","yes","no","Francis Ford Coppola","Al Pacino","Robert De Niro","Robert Duvall","Diane Keaton","Talia Shire","http://www.imdb.com/title/tt0071562/","//www.rottentomatoes.com/m/godfather_part_ii/","Mystery & "
"353","Phantom of the Paradise","Feature Film","Horror",92,"PG","Fox",1974,10,31,2001,9,4,7.4,10599,"Fresh",95,"Upright",84,"no","no","no","no","no","no","Brian DePalma","William Finley","Paul Williams","Jessica Harper","George Memmoli","Gerrit Graham","http://www.imdb.com/title/tt0071994/","//www.rottentomatoes.com/m/phantom_of_the_paradise/","Horror"
"354","Twenty Bucks","Feature Film","Drama",91,"R","Sony Pictures Home Entertainment",1993,1,1,2005,7,4,6.4,3101,"Fresh",75,"Upright",63,"no","no","no","no","no","no","Keva Rosenfeld","Linda Hunt","Brendan Fraser","Gladys Knight","Elisabeth Shue","David Rasche","http://www.imdb.com/title/tt0108410/","//www.rottentomatoes.com/m/twenty_bucks/","Drama"
"355","Alaska","Feature Film","Action & Adventure",109,"PG","Sony Pictures Home Entertainment",1996,8,14,2002,9,3,5.7,4180,"Rotten",18,"Spilled",44,"no","no","yes","no","no","no","Fraser Clarke Heston","Thora Birch","Vincent Kartheiser","Dirk Benedict","Charlton Heston","Gordon Tootoosis","http://www.imdb.com/title/tt0115493/","//www.rottentomatoes.com/m/1072833-alaska/","Action & A"
"356","Running on Empty","Feature Film","Musical & Performing Arts",116,"PG-13","Warner Bros. Pictures",1988,9,7,1999,3,30,7.7,9904,"Fresh",85,"Upright",68,"no","no","no","no","no","no","Sidney Lumet","River Phoenix","Christine Lahti","Judd Hirsch","Martha Plimpton","Ed Crowley","http://www.imdb.com/title/tt0096018/","//www.rottentomatoes.com/m/running_on_empty/","Musical & "
"357","Godzilla Vs Mechagodzilla","Feature Film","Art House & International",84,"PG","Sony Pictures Entertainment",1974,3,21,2004,10,19,6.3,3428,"Fresh",67,"Upright",61,"no","no","no","no","no","no","Jun Fukuda","Masaaki Daimon","Kazuya Aoyama","Reiko Tajima","Carol Lynley","Barbara Lynn","http://www.imdb.com/title/tt0071565/","//www.rottentomatoes.com/m/godzilla_vs_mechagodzilla/","Art House "
"358","49 Up","Documentary","Documentary",180,"Unrated","First Run Features",2006,10,6,2006,11,14,8.2,2056,"Certified Fresh",95,"Upright",86,"no","no","no","no","no","no","Michael Apted","Bruce Balden","Jacqueline Bassett","Symon Basterfield","Andrew Brackfield","John Brisby","http://www.imdb.com/title/tt0473434/","//www.rottentomatoes.com/m/49_up/","Documentar"
"359","This is 40","Feature Film","Comedy",134,"R","Universal Studios",2012,12,21,2013,3,22,6.2,100447,"Rotten",51,"Spilled",50,"no","no","no","no","no","no","Judd Apatow","Leslie Mann","Paul Rudd","John Lithgow","Megan Fox","Albert Brooks","http://www.imdb.com/title/tt1758830/","//www.rottentomatoes.com/m/this_is_40/","Comedy"
"360","Fair Game","Feature Film","Drama",108,"PG-13","Summit Entertainment",2010,11,5,2011,3,29,6.8,37506,"Certified Fresh",79,"Upright",65,"no","no","yes","no","no","no","Doug Liman","Naomi Watts","Sean Penn","Bruce McGill","Michael Kelly","Ty Burrell","http://www.imdb.com/title/tt0977855/","//www.rottentomatoes.com/m/fair-game-2010/","Drama"
"361","Hercules","Feature Film","Action & Adventure",98,"PG-13","Paramount Pictures",2014,7,25,2014,11,4,6,109633,"Fresh",60,"Spilled",49,"no","no","no","no","no","no","Brett Ratner","Dwayne ""The Rock"" Johnson","Ian McShane","Rufus Sewell","Ingrid Bolso Berdal","John Hurt","http://www.imdb.com/title/tt1267297/","//www.rottentomatoes.com/m/hercules_the_thracian_wars/","Action & A"
"362","Max Manus: Man of War","Feature Film","Drama",118,"Unrated","Nordisk Film Biograf Distribution",2010,9,3,2011,6,28,7.3,21443,"Fresh",80,"Upright",83,"no","no","no","no","no","no","Joachim Roenning","Askel Hennie","Aksel Hennie","Agnes Kittelsen","Nicolai Cleve Broch","Ken Duken","http://www.imdb.com/title/tt1029235/","//www.rottentomatoes.com/m/max_manus_man_of_war/","Drama"
"363","Curdled","Feature Film","Drama",88,"R","Miramax",1996,9,6,2004,3,2,5.9,4031,"Rotten",17,"Spilled",57,"no","no","no","no","no","no","Reb Braddock","Angela Jones","William Baldwin","Bruce Ramsay","Mel Gorham","Lois Chiles","http://www.imdb.com/title/tt0115994/","//www.rottentomatoes.com/m/curdled/","Drama"
"364","The Omen","Feature Film","Mystery & Suspense",110,"R","20th Century Fox",2006,6,6,2006,10,17,5.5,47692,"Rotten",27,"Spilled",40,"no","no","no","no","no","no","John Moore","Julia Stiles","Liev Schreiber","Mia Farrow","David Thewlis","Pete Postlethwaite","http://www.imdb.com/title/tt0466909/","//www.rottentomatoes.com/m/omen/","Mystery & "
"365","A Night at the Roxbury","Feature Film","Comedy",82,"PG-13","Paramount Pictures",1998,10,2,1999,4,20,6.2,47343,"Rotten",11,"Upright",69,"no","no","no","no","no","no","Amy Heckerling","Chris Kattan","Will Ferrell","Loni Anderson","Dan Hedaya","Dwayne Hickman","http://www.imdb.com/title/tt0120770/","//www.rottentomatoes.com/m/night_at_the_roxbury/","Comedy"
"366","Tank Girl","Feature Film","Action & Adventure",104,"R","MGM Home Entertainment",1995,3,1,2001,4,10,5.2,24084,"Rotten",38,"Upright",63,"no","no","no","no","no","no","Rachel Talalay","Lori Petty","Malcolm McDowell","Ice-T","Naomi Watts","Don Harvey","http://www.imdb.com/title/tt0114614/","//www.rottentomatoes.com/m/tank_girl/","Action & A"
"367","Missing","Feature Film","Mystery & Suspense",122,"PG","Universal Pictures",1982,2,12,2004,11,23,7.8,13215,"Fresh",96,"Upright",85,"yes","no","yes","yes","no","no","Costa-Gavras","Jack Lemmon","Sissy Spacek","John Shea","Melanie Mayron","Charles Cioffi","http://www.imdb.com/title/tt0084335/","//www.rottentomatoes.com/m/1014007-missing/","Mystery & "
"368","Point Break","Feature Film","Mystery & Suspense",122,"R","Twentieth Century Fox Home Entertainment",1991,7,12,2001,5,22,7.2,105982,"Fresh",68,"Upright",79,"no","no","no","no","yes","no","Kathryn Bigelow","Keanu Reeves","Patrick Swayze","Gary Busey","Lori Petty","John C. McGinley","http://www.imdb.com/title/tt0102685/","//www.rottentomatoes.com/m/point_break/","Mystery & "
"369","Shall We Dance","Feature Film","Drama",106,"PG-13","Miramax Films",2004,10,15,2005,2,1,6.1,34461,"Rotten",46,"Spilled",57,"no","no","no","yes","no","no","Peter Chelsom","Richard Gere","Jennifer Lopez","Susan Sarandon","Stanley Tucci","Bobby Cannavale","http://www.imdb.com/title/tt0358135/","//www.rottentomatoes.com/m/shall_we_dance/","Drama"
"370","Malibu's Most Wanted","Feature Film","Comedy",86,"PG-13","Warner Bros.",2003,4,18,2003,9,9,5.1,15714,"Rotten",31,"Spilled",53,"no","no","no","no","no","no","John Whitesell","Taye Diggs","Anthony Anderson","Regina Hall","Ryan O'Neal","Bo Derek","http://www.imdb.com/title/tt0328099/","//www.rottentomatoes.com/m/malibus_most_wanted/","Comedy"
"371","The Evening Star","Feature Film","Drama",129,"PG-13","Paramount Home Video",1996,6,1,2001,2,27,5.8,3358,"Rotten",23,"Upright",65,"no","no","no","yes","no","no","Robert Harling","Shirley MacLaine","Bill Paxton","Juliette Lewis","Miranda Richardson","Ben Johnson","http://www.imdb.com/title/tt0116240/","//www.rottentomatoes.com/m/evening_star/","Drama"
"372","Cloud Atlas","Feature Film","Drama",172,"R","Warner Bros. Pictures",2012,10,26,2013,5,14,7.5,275125,"Fresh",66,"Upright",66,"no","no","yes","yes","no","no","Tom Tykwer","Tom Hanks","Halle Berry","Jim Broadbent","Hugo Weaving","Jim Sturgess","http://www.imdb.com/title/tt1371111/","//www.rottentomatoes.com/m/cloud_atlas_2012/","Drama"
"373","Fire Down Below","Feature Film","Action & Adventure",105,"R","Warner Home Video",1997,9,5,2001,9,4,4.9,13280,"Rotten",11,"Spilled",35,"no","no","no","no","no","no","Harry Dean Stanton","Steven Seagal","Marg Helgenberger","Harry Dean Stanton","Stephen Lang","Kris Kristofferson","http://www.imdb.com/title/tt0119123/","//www.rottentomatoes.com/m/1078038-fire_down_below/","Action & A"
"374","The Five Heartbeats","Feature Film","Musical & Performing Arts",121,"R","20th Century Fox Film Corporation",1991,3,29,2002,1,22,7.5,2551,"Rotten",38,"Upright",95,"no","no","no","no","no","no","Robert Townsend","Michael Wright","Tico Wells","Leon","Harry Lennix","Diahann Carroll","http://www.imdb.com/title/tt0101891/","//www.rottentomatoes.com/m/five_heartbeats/","Musical & "
"375","Porky's Revenge","Feature Film","Art House & International",92,"R","20th Century Fox",1985,3,22,NA,NA,NA,4.6,5863,"Rotten",27,"Spilled",33,"no","no","no","no","no","no","James Komack","Dan Monahan","Wyatt Knight","Mark Herrier","Tony Ganios","Kaki Hunter","http://www.imdb.com/title/tt0089826/","//www.rottentomatoes.com/m/porkys_revenge/","Art House "
"376","Disaster Movie","Feature Film","Comedy",87,"PG-13","Lionsgate",2008,8,29,2009,1,6,1.9,73219,"Rotten",1,"Spilled",19,"no","no","no","no","no","no","Aaron Seltzer","Matt Lanter","Kim Kardashian","Vanessa Lachey","Carmen Electra","G-Thang","http://www.imdb.com/title/tt1213644/","//www.rottentomatoes.com/m/disaster_movie/","Comedy"
"377","Teen Wolf Too","Feature Film","Science Fiction & Fantasy",95,"PG","Paramount Home Video",1987,11,20,NA,NA,NA,3.1,8319,"Rotten",7,"Spilled",17,"no","no","no","no","no","no","Christopher Leitch","Jason Bateman","Kim Darby","John Astin","Estee Chandler","Paul Sand","http://www.imdb.com/title/tt0094118/","//www.rottentomatoes.com/m/teen_wolf_too/","Science Fi"
"378","The Fighter","Feature Film","Other",116,"R","Paramount Pictures",2010,12,10,2011,3,15,7.9,265725,"Certified Fresh",90,"Upright",89,"yes","no","no","no","no","no","David O. Russell","Christian Bale","Mark Wahlberg","Amy Adams","Melissa Leo","Jack McGee","http://www.imdb.com/title/tt0964517/","//www.rottentomatoes.com/m/the-fighter/","Other"
